Pedigree,Trial,Yield,CHM,NGRDI,CHM_48,CHM_63,CHM_70,CHM_73,CHM_82,CHM_98,CHM_112,NGRDI_48,NGRDI_63,NGRDI_70,NGRDI_73,NGRDI_82,NGRDI_98,NGRDI_112
NILASQ4G31I05S3/LH123HT,LP17,7.235665,1.938792759,0.05841789,1.218154335,2.294996081,2.192590539,2.230622195,2.115798674,1.949915705,1.710892043,0.114439372,0.105886084,0.076704181,0.062683028,0.016567762,0.016050807,0.008498
NILASQ4G31I06S2/LH123HT,LP17,6.75037,1.953396882,0.062484249,1.211714377,2.300522563,2.205863817,2.238419511,2.089195451,2.00644964,1.761815834,0.122119224,0.108050095,0.079228529,0.065086082,0.023835597,0.023140312,0.015750805
NILASQ4G31I07S3/LH123HT,LP17,6.506104,1.952490571,0.060092543,1.202483418,2.305416301,2.202898664,2.256134372,2.080281108,1.959571971,1.792374587,0.115564081,0.108217949,0.080060836,0.064683219,0.019642433,0.01924662,0.01019502
NILASQ4G31I08S2/LH123HT,LP17,6.570868,2.029187976,0.062992831,1.230819512,2.357201587,2.322641151,2.326461778,2.194605212,2.082818687,1.881046766,0.116312344,0.110858509,0.080021126,0.063874621,0.026231034,0.026077503,0.01785095
NILASQ4G31I09S2/LH123HT,LP17,6.083495,2.002760682,0.063856957,1.228977105,2.349605365,2.286525444,2.307030549,2.140769913,2.024994626,1.842462371,0.117882287,0.111707577,0.082278179,0.06632264,0.028793554,0.028373042,0.01621602
NILASQ4G31I11S3/LH123HT,LP17,6.237681,1.877599483,0.061512423,1.139411851,2.214797458,2.136779251,2.165672066,2.011476272,1.911676567,1.704373669,0.115995592,0.110008636,0.080655835,0.066451178,0.021586046,0.02058498,0.013016809
NILASQ4G31I12S2/LH123HT,LP17,7.041488,1.934130947,0.063354414,1.209557169,2.252604668,2.159083631,2.212675943,2.095912851,1.947288165,1.81004667,0.12070127,0.109886437,0.081221419,0.065827933,0.025332125,0.024412206,0.020159064
NILASQ4G41I01S2/LH123HT,LP17,5.719391,1.959635258,0.060918379,1.197096214,2.29692198,2.223275726,2.258686563,2.086697857,1.95012741,1.842130122,0.11812176,0.106418855,0.078396283,0.06353498,,,
NILASQ4G41I02S3/LH123HT,LP17,5.848183,1.923909063,0.062961739,1.164692875,2.269827111,2.203480622,2.248942129,2.109428701,1.966864421,1.640201174,0.120525092,0.111936667,0.081795654,0.066674766,0.024991906,0.024353447,0.013367322
NILASQ4G41I03S2/LH123HT,LP17,4.424449,1.901007603,0.061742207,1.197275326,2.278606168,2.188997173,2.207292772,2.051499512,1.927547143,1.60095384,0.116422066,0.108546468,0.080756621,0.064030053,0.023321388,0.023180083,0.016908944
NILASQ4G41I04S3/LH123HT,LP17,5.874207,1.802119817,0.058609629,1.0691896,2.159992155,2.086385139,2.119087145,1.966028198,1.727477479,1.563294351,0.108093213,0.102999488,0.076089469,0.060969899,0.02043996,0.019863869,0.013458779
NILASQ4G41I05S3/LH123HT,LP17,6.058196,1.958289991,0.063324681,1.210467815,2.314826,2.2286708,2.254975109,2.11192694,1.981290035,1.754761943,0.121745531,0.11008999,0.082410962,0.067004879,0.025494304,0.024819686,0.013988247
NILASQ4G41I06S3/LH123HT,LP17,6.328725,1.948090234,0.064466523,1.175977205,2.257145172,2.20947178,2.245092238,2.079488897,2.005372987,1.818775618,0.12068082,0.114364615,0.083160671,0.068487549,0.025789932,0.025018838,0.017032013
NILASQ4G41I07S2/LH123HT,LP17,3.984382,1.874139364,0.061961239,1.118877344,2.223864218,2.138555009,2.19806597,2.045093998,1.815259288,1.682481828,0.112311783,0.105148147,0.0796603,0.062179859,0.030049935,0.029890086,0.01414526
NILASQ4G41I08S2/LH123HT,LP17,5.609388,1.937492255,0.061429573,1.150536093,2.294246975,2.247828033,2.250506154,2.115409867,1.96818841,1.676639479,0.114183627,0.109179386,0.078077231,0.065662532,0.024403504,0.023796153,0.013763334
NILASQ4G41I09S2/LH123HT,LP17,6.173418,2.004518371,0.063359719,1.222544386,2.319917506,2.274302129,2.293298659,2.162352501,2.070856919,1.877763396,0.121311767,0.111697421,0.07970953,0.06671817,0.025228312,0.024548719,0.018077804
NILASQ4G41I10S2/LH123HT,LP17,5.958666,1.907305754,0.060099717,1.16636655,2.252685197,2.1510897,2.208636298,2.024613966,1.95102522,1.731945266,0.11853029,0.106469533,0.078317042,0.062991125,0.020406443,0.020358265,0.010982075
NILASQ4G41I11S2/LH123HT,LP17,5.976766,1.897769328,0.061872889,1.159053399,2.27802132,2.163641125,2.198100401,2.029231206,1.907318028,1.687491737,0.116912149,0.107999251,0.08098149,0.065610956,0.0229403,0.022295748,
NILASQ4G41I12S3/LH123HT,LP17,5.931558,1.876905242,0.05949567,1.162843254,2.254525504,2.16902517,2.180029966,2.02239654,1.842919902,1.604556388,0.114523155,0.106186191,0.077749746,0.062342863,0.018257326,0.019846394,0.010669482
NILASQ4G51I01S2/LH123HT,LP17,5.721716,1.929813334,0.063119979,1.165501736,2.274097729,2.222989155,2.261075327,2.081045187,1.934094928,1.720584581,0.11994205,0.108149729,0.083755747,0.067603951,0.025617605,0.02491289,0.014568309
NILASQ4G51I02S3/LH123HT,LP17,6.372524,1.99261557,0.061322972,1.211119908,2.319053859,2.267650652,2.275660675,2.122956102,2.072185275,1.856120196,0.115922852,0.10690632,0.077592364,0.064277074,,,0.014131801
NILASQ4G51I03S2/LH123HT,LP17,6.315408,1.944306164,0.063812706,1.200808768,2.2645227,2.184994502,2.230094255,2.07802785,1.998350189,1.813427412,0.119850055,0.110865162,0.082672933,0.068031452,0.027021734,0.02636053,0.016096324
NILASQ4G51I04S3/LH123HT,LP17,5.956705,1.915110769,0.061939343,1.200402414,2.267235362,2.173795804,2.190833341,2.048615181,1.961178024,1.706166036,0.120390715,0.10975471,0.081643204,0.064751286,0.022415454,0.021978978,0.013408632
NILASQ4G51I05S3/LH123HT,LP17,6.586444,1.893880695,0.062080817,1.175157607,2.258273502,2.176313829,2.186767706,2.067739187,1.819734018,1.707193185,0.120930782,0.106045679,0.080287293,0.064969398,0.023444055,0.022593589,0.017199067
NILASQ4G51I06S2/LH123HT,LP17,6.102032,1.927161062,0.062603306,1.203252601,2.240213573,2.178916664,2.229239163,2.052368238,1.993501339,1.742255708,0.117215301,0.106082226,0.07774208,0.063135986,0.029894195,0.029292882,0.019080061
NILASQ4G51I07S3/LH123HT,LP17,6.166206,1.919180481,0.065785229,1.204639098,2.259309519,2.179823027,2.210764224,2.077908672,1.941208179,1.710787049,0.12253022,0.113468255,0.084888031,0.068440386,0.030542804,0.03135642,0.015770146
NILASQ4G51I08S3/LH123HT,LP17,6.177873,1.908220904,0.064337635,1.202658604,2.253851442,2.173547146,2.174895754,2.02109148,1.928761131,1.742006112,0.123114517,0.109368377,0.081164364,0.068306131,0.029406462,0.029263557,0.015983527
NILASQ4G51I09S3/LH123HT,LP17,6.16921,1.826276895,0.060761492,1.11351851,2.183416857,2.107490214,2.124183628,1.939283888,1.796858699,1.614003095,0.113268348,0.104729882,0.077826311,0.063134611,0.025806063,0.025612756,0.012491945
NILASQ4G51I10S2/LH123HT,LP17,6.639658,1.966096844,0.061951326,1.255780567,2.314813386,2.250928134,2.257136635,2.087252477,2.009078832,1.747739775,0.119465936,0.105411158,0.081284123,0.065844653,,,0.014385544
NILASQ4G51I11S2/LH123HT,LP17,5.170805,1.929553085,0.062554063,1.214653589,2.277464073,2.193737155,2.238795049,2.067586008,1.933234172,1.712946898,0.117240993,0.106835955,0.081020487,0.065720379,,,0.015936752
NILASQ4G51I12S2/LH123HT,LP17,6.382242,1.97349087,0.062801114,1.228826787,2.312647362,2.241013078,2.255575835,2.117384399,2.032867195,1.799630937,0.117687684,0.108836024,0.082213931,0.067030277,0.026050133,0.025792678,0.014130439
NILASQ4G61I01S2/LH123HT,LP17,6.748854,1.94729298,0.066929006,1.217914106,2.291878624,2.200159291,2.212117634,2.139454127,1.959458349,1.735075323,0.125318837,0.114336375,0.086471431,0.070240455,0.030822522,0.030547667,0.022676583
NILASQ4G61I02S3/LH123HT,LP17,7.030617,1.983930127,0.068702161,1.235185765,2.29368924,2.220635021,2.270344118,2.128159131,2.061755004,1.818795489,0.125312205,0.116525832,0.089048886,0.073464477,0.032700631,0.032828421,0.024357219
NILASQ4G61I03S3/LH123HT,LP17,6.292368,1.991401349,0.064840397,1.226145998,2.338390006,2.239532524,2.294994789,2.1764274,2.079188707,1.736914106,0.117508777,0.110121007,0.086459622,0.068097116,0.027409009,0.02747921,0.023415559
NILASQ4G61I04S3/LH123HT,LP17,6.000789,1.926266665,0.063991462,1.235409336,2.273049204,2.184991112,2.231737546,2.081618906,1.928487793,1.677321921,0.123565408,0.110301954,0.085716973,0.068719168,0.023334708,0.023862731,0.015239033
NILASQ4G61I05S3/LH123HT,LP17,5.493413,1.961494824,0.063888888,1.2215062,2.291729468,2.213951418,2.226042187,2.117356781,2.05205681,1.765179964,0.116915697,0.107615716,0.083450273,0.06725025,0.030005958,0.02983308,0.016434017
NILASQ4G61I06S3/LH123HT,LP17,6.65869,1.971456464,0.067182948,1.240448629,2.314272458,2.220279272,2.256514795,2.098133245,1.990083935,1.821284926,0.121776624,0.111581747,0.088226286,0.070132703,0.032066598,0.032183963,0.025569256
NILASQ4G61I07S3/LH123HT,LP17,6.041092,1.954567021,0.060923872,1.219280498,2.304759236,2.228265293,2.230062669,2.100229713,1.973336755,1.777883633,0.114622322,0.104838963,0.078911169,0.063894982,0.024064082,0.024434575,0.014962781
NILASQ4G61I08S2/LH123HT,LP17,6.377968,1.959955479,0.065566096,1.229052032,2.319909816,2.218931269,2.250874797,2.075925834,1.995631933,1.777502422,0.122437797,0.111278581,0.087733914,0.07191371,0.027666,0.027529232,0.018419399
NILASQ4G61I09S2/LH123HT,LP17,6.711504,1.978226045,0.067505733,1.216644181,2.329070327,2.250958126,2.264343931,2.11613359,2.006422892,1.820970542,0.123210558,0.113197006,0.088967323,0.072250851,0.031870627,0.03145168,0.024160575
