Pedigree,Range,Row,Rep,Grain Yield (BuA),Grain Yield (t/ha),PlantingDate,Management,Label,Data,Flight,Management,Pedigree,DTA,DTS,PHT,FHT,EHT
LH74/PHN82,6,275,1,175.1469222,10.98887305,3/3/2017,OI,48_OI,0.881,48,OI,LH74/PHN82,66,66,79,63,39
NILASQ4G11I01S3/LH123HT,4,305,1,189.3612762,11.88069421,3/3/2017,OI,48_OI,1.023676,48,OI,NILASQ4G11I01S3/LH123HT,69,69,101,77,48
NILASQ4G11I02S2/LH123HT,4,309,1,187.5980296,11.77006656,3/3/2017,OI,48_OI,0.961975,48,OI,NILASQ4G11I02S2/LH123HT,69,70,98,81,50
NILASQ4G11I03S2/LH123HT,4,307,1,185.9988887,11.66973504,3/3/2017,OI,48_OI,0.955,48,OI,NILASQ4G11I03S2/LH123HT,68,70,,81,45
NILASQ4G11I04S2/LH123HT,3,319,1,192.3533,12.06841644,3/3/2017,OI,48_OI,0.96201,48,OI,NILASQ4G11I04S2/LH123HT,67,69,93,71,47
NILASQ4G11I05S2/LH123HT,3,313,1,148.2584158,9.30186434,3/3/2017,OI,48_OI,0.97625,48,OI,NILASQ4G11I05S2/LH123HT,67,70,100,74,47
NILASQ4G11I06S3/LH123HT,3,311,1,172.5168538,10.82386023,3/3/2017,OI,48_OI,1.035,48,OI,NILASQ4G11I06S3/LH123HT,69,69,101,80,46
NILASQ4G11I07S3/LH123HT,3,317,1,173.6544588,10.89523458,3/3/2017,OI,48_OI,0.961,48,OI,NILASQ4G11I07S3/LH123HT,70,70,98,78,51
NILASQ4G11I08S3/LH123HT,4,303,1,201.7624526,12.65875501,3/3/2017,OI,48_OI,1.032037,48,OI,NILASQ4G11I08S3/LH123HT,68,69,104,78,47
NILASQ4G11I09S2/LH123HT,4,313,1,171.3857162,10.75289166,3/3/2017,OI,48_OI,0.93803,48,OI,NILASQ4G11I09S2/LH123HT,70,70,101,79,49
NILASQ4G11I10S2/LH123HT,3,315,1,178.2919319,11.18619375,3/3/2017,OI,48_OI,0.889,48,OI,NILASQ4G11I10S2/LH123HT,67,68,95,74,45
NILASQ4G11I11S2/LH123HT,4,311,1,177.7294894,11.15090561,3/3/2017,OI,48_OI,0.978524,48,OI,NILASQ4G11I11S2/LH123HT,68,69,99,77,49
NILASQ4G11I12S3/LH123HT,4,317,1,202.1422913,12.68258643,3/3/2017,OI,48_OI,0.961,48,OI,NILASQ4G11I12S3/LH123HT,69,69,101,80,46
NILASQ4G21I01S2/LH123HT,4,295,1,189.3170939,11.87792218,3/3/2017,OI,48_OI,1.17022,48,OI,NILASQ4G21I01S2/LH123HT,68,69,101,84,53
NILASQ4G21I02S2/LH123HT,4,279,1,168.8863649,10.59608014,3/3/2017,OI,48_OI,1.08386,48,OI,NILASQ4G21I02S2/LH123HT,67,69,102,82,46
NILASQ4G21I03S2/LH123HT,4,299,1,171.2339155,10.74336755,3/3/2017,OI,48_OI,1.062,48,OI,NILASQ4G21I03S2/LH123HT,68,69,97,80,52
