Pedigree,Trial,Yield,CHM,NGRDI,CHM_39,CHM_63,CHM_75,CHM_88,CHM_96,NGRDI_39,NGRDI_63,NGRDI_75,NGRDI_88,NGRDI_96
((GP7169GT (glyphosate)-1-B18)/(Tx778/Tx151)-B5-06-1-1),LP19,6.792227,1.502751276,0.13363768,0.524296761,1.681836771,1.795821826,1.823750277,1.710591888,0.099580237,0.150103528,0.188969656,0.137725928,0.096450126
((GP7169GT (glyphosate)-1-B18)/(Tx778/Tx151)-B5-24-1-1),LP19,6.072416,1.463121622,0.129297531,0.532586979,1.667093987,1.694687935,1.811350363,1.619099031,0.096797817,0.152181228,0.186759645,0.134426761,0.096525624
((GP7169GT (glyphosate)-1-B18)/(Tx778/Tx151)-B5-26-2-1),LP19,6.309551,1.440313785,0.129706517,0.545098539,1.621114733,1.671465632,1.769034922,1.599624365,0.103871814,0.15421021,0.183226131,0.126614323,0.089954236
((GP7169GT (glyphosate)-1-B18)/(Tx779/Tx780)-B6-04-2-2),LP19,7.453916,1.504662988,0.136384614,0.529228426,1.69937313,1.776586654,1.839711392,1.700585656,0.105719781,0.160788032,0.196892927,0.142164091,0.100929754
((GP7169GT (glyphosate)-1-B18)/(Tx779/Tx780)-B6-05-1-1),LP19,6.502831,1.456628754,0.137969152,0.541295744,1.635631016,1.692327451,1.797651237,1.628480437,0.09845976,0.164888695,0.197345405,0.149567001,0.105920246
((GP7169GT)/Tx777),LP19,7.146809,1.572498973,0.133596144,0.626446645,1.751988695,1.848381577,1.901119072,1.768867248,0.103471486,0.165312968,0.188476979,0.133827196,0.099687705
((LH195 exPVP)/Tx777),LP19,10.0709,1.732712993,0.135343777,0.700700945,1.927603018,2.048003303,2.096276903,1.961782946,0.107509864,0.160920966,0.184583356,0.138105039,0.101340841
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2),LP19,8.162691,1.512505866,0.140557836,0.555000748,1.692941073,1.771092386,1.841889838,1.724874951,0.104495402,0.162943168,0.182884873,0.148896516,0.123127925
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-B13),LP19,7.72423,1.527900139,0.138732834,0.582513896,1.706471169,1.768848975,1.885650047,1.723554492,0.11124843,0.158205425,0.181808927,0.133809616,0.115914593
((LH195RR)/(Tx775//LH82)-B6-24-1-1),LP19,7.2066,1.450651647,0.132701684,0.520152312,1.626963176,1.685692103,1.798775107,1.628439756,0.104555591,0.152138906,0.176288693,0.129635697,0.110250566
((LH195RR)/(Tx777/Tx775)-B5-12-2-1),LP19,9.800284,1.671364549,0.133341461,0.67720864,1.883392044,1.961306296,2.010720428,1.881993498,0.11748298,0.153077727,0.179111067,0.133397171,0.105044539
((LH195RR)/(Tx777/Tx775)-B5-15-1-1),LP19,9.397127,1.563802873,0.131852016,0.579820535,1.735785487,1.848836127,1.896031541,1.791956851,0.111833654,0.15350494,0.174841165,0.12591592,0.094968249
((LH195RR)/(Tx777/Tx775)-B5-30-1-1),LP19,9.640902,1.488119722,0.132757555,0.577074077,1.6569525,1.721813232,1.788006766,1.711664683,0.11552855,0.153047608,0.174974387,0.132779068,0.104466104
((LH195RR)/(Tx778/Tx151)-B5-04-1-B3),LP19,7.708105,1.645327847,0.135531419,0.650195543,1.851451349,1.934263644,1.975261361,1.865533305,0.114850942,0.15261253,0.183189578,0.138041796,0.096353882
((LH195RR)/(Tx778/Tx151)-B5-06-1-1),LP19,5.5539,1.545565118,0.129337694,0.552203936,1.725890242,1.826271997,1.887848717,1.76589398,0.104148502,0.146990023,0.175740358,0.122430087,0.091965439
((LH195RR)/(Tx778/Tx151)-B5-07-2-1),LP19,7.98805,1.58859701,0.132803695,0.595123265,1.778619853,1.846763544,1.929137235,1.834742464,0.10568925,0.152371328,0.177013211,0.132168889,0.10615242
((LH195RR)/(Tx778/Tx151)-B5-24-1-1),LP19,8.192377,1.577996014,0.130341317,0.619364513,1.744717603,1.832028615,1.942296884,1.786186786,0.106910139,0.151554656,0.178272353,0.127564573,0.098164835
((LH195RR)/(Tx778/Tx151)-B5-25-1-2),LP19,7.855774,1.649621202,0.136013382,0.681583569,1.821626314,1.916209189,2.012197496,1.869759589,0.111872343,0.154630203,0.176506731,0.132991803,0.119772879
((LH195RR)/(Tx779/Tx780)-B6-04-2-2),LP19,7.768263,1.425392399,0.130532126,0.488477963,1.598115892,1.667764471,1.764875266,1.610469253,0.098868154,0.144139164,0.176875209,0.135185919,0.102692573
((LH195RR)/(Tx779/Tx780)-B6-05-1-1),LP19,7.741426,1.468020105,0.131394919,0.528063127,1.638342357,1.706987989,1.81305296,1.666158144,0.09313983,0.151147848,0.182541731,0.141283423,0.100735553
